CombID,UniqueID,PrelimID,Date,Transect,Plot,Easting,Northing,Height,RHeight,RTHeight,Inun,C14_0,iC15_0,aC15_0,C14_1,C15_0,iC16_0,C15_1,C16_0,C16_1w11t,C16_1w7t,aC17_0,C16_1,C16_1w9c,C18isomer1,C18isomer2,C18isomer3,C18isomer4,C17_0,me10C16_0,C17_1,C18_0,C18_1n9t,C18_1n9c,C19isomer3,C18_2n6c,me10C18_0,C18_3n3
FCNSW_104_2019-11-05_T5_P4,FCNSW_104,FC NSW 1054,5/11/19,5,4,144.29732,-35.72876,78.919998,2.75999,0,n,0.014,0.13,0.029,0.084,0.011,0.061,0.115,0.17,0.035,0.016,0.025,0.053,0.019,0.021,0.013,0.021,0.002,0.006,0,0,0.026,0.002,0.079,0.012,0.027,0.03,0
FCNSW_105_2019-11-06_T6_P1,FCNSW_105,FC NSW 1061,6/11/19,6,1,144.274284,-35.696733,79.400002,3.24,1.459999,n,0.024,0.114,0.007,0.022,0.012,0.064,0.138,0.196,0.033,0.075,0.027,0.065,0.02,0.004,0.002,0.004,0.012,0.006,0,0.001,0.03,0.005,0.071,0,0.043,0.022,0.003
FCNSW_106_2019-11-06_T6_P2,FCNSW_106,FC NSW 1062,6/11/19,6,2,144.274252,-35.6966,78.470001,2.31,0.529999,m,0.011,0.175,0.004,0.02,0.012,0.087,0.001,0.182,0.049,0.014,0.057,0.049,0.082,0.04,0.024,0.04,0,0.005,0,0,0.022,0.006,0.068,0.005,0.008,0.038,0
FCNSW_107_2019-11-06_T6_P3,FCNSW_107,FC NSW 1063,6/11/19,6,3,144.274289,-35.696551,78.050003,1.89,0.110001,y,0.021,0.159,0.037,0.111,0.018,0.076,0.001,0.186,0.043,0.089,0.007,0.053,0.02,0.029,0.018,0.029,0,0.006,0,0,0.018,0,0.056,0,0.004,0.019,0
FCNSW_108_2019-11-06_T6_P4,FCNSW_108,FC NSW 1064,6/11/19,6,4,144.274307,-35.696518,77.940002,1.78,0,y,0.027,0.154,0.006,0.026,0.016,0.066,0.131,0.187,0.046,0.102,0.007,0.052,0.019,0.024,0.013,0.024,0,0.007,0,0,0.019,0.003,0.037,0,0.016,0.019,0
FCNSW_109_2019-11-06_T7_P1,FCNSW_109,FC NSW 1071,6/11/19,7,1,144.239511,-35.678113,78.860001,2.7,1.18,n,0.022,0.147,0.013,0.044,0.013,0.09,0.003,0.217,0.044,0.098,0.012,0.074,0.027,0.003,0,0.003,0.01,0.004,0,0,0.03,0.003,0.089,0,0.027,0.024,0.001
FCNSW_110_2019-11-06_T7_P2,FCNSW_110,FC NSW 1072,6/11/19,7,2,144.238774,-35.677261,78.330002,2.17,0.650002,n,0.017,0.142,0.029,0.081,0.013,0.076,0.107,0.159,0.039,0.022,0.024,0.053,0.018,0.019,0.013,0.02,0.005,0.006,0,0,0.021,0.004,0.074,0,0.029,0.029,0.001
FCNSW_111_2019-11-06_T7_P3,FCNSW_111,FC NSW 1073,6/11/19,7,3,144.238588,-35.676544,78.209999,2.05,0.529999,n,0.017,0.143,0.032,0.093,0.014,0.079,0.003,0.171,0.041,0.088,0.027,0.06,0.019,0.007,0.013,0.007,0.005,0.007,0,0,0.021,0.003,0.08,0.014,0.033,0.026,0
FCNSW_112_2019-11-06_T7_P4,FCNSW_112,FC NSW 1074,6/11/19,7,4,144.237507,-35.675924,77.68,1.52,0,n,0.015,0.156,0.004,0.018,0.013,0.071,0.13,0.187,0.036,0.075,0.025,0.063,0.018,0.015,0.009,0.015,0.001,0.006,0,0,0.019,0.001,0.076,0.01,0.012,0.026,0
FCNSW_113_2019-11-04_T8_P1,FCNSW_113,FC NSW 1081,4/11/19,8,1,144.232062,-35.59318,77.18,1.02,1.019997,n,0.02,0.12,0.01,0.036,0.011,0.091,0.006,0.208,0.045,0.114,0.029,0.075,0.026,0,0,0,0.008,0.006,0,0,0.022,0.002,0.093,0,0.063,0.014,0.002
FCNSW_114_2019-11-04_T8_P2,FCNSW_114,FC NSW 1082,4/11/19,8,2,144.231292,-35.593209,76.559998,0.39999,0.399994,n,0.022,0.124,0.006,0.02,0.012,0.07,0.003,0.144,0.037,0.011,0.028,0.047,0.016,0.019,0.012,0.019,0,0.005,0,0,0.018,0.18,0.158,0.006,0.017,0.023,0
FCNSW_115_2019-11-04_T8_P3,FCNSW_115,FC NSW 1083,4/11/19,8,3,144.230001,-35.592745,76.260002,0.1,0.099998,n,0.02,0.15,0.027,0.079,0.018,0.081,0.004,0.179,0.041,0.088,0.024,0.051,0.018,0.02,0.012,0.021,0.001,0.007,0,0,0.022,0.002,0.069,0.007,0.035,0.025,0
FCNSW_116_2019-11-04_T8_P4,FCNSW_116,FC NSW 1084,4/11/19,8,4,144.229216,-35.592304,76.160004,0,0,n,0.02,0.161,0.034,0.098,0.017,0.08,0.002,0.178,0.044,0.088,0.009,0.052,0.019,0.024,0.003,0.024,0,0.006,0,0,0.019,0.002,0.067,0.007,0.019,0.028,0
FCNSW_117_2019-11-05_T9_P1,FCNSW_117,FC NSW 1091,5/11/19,9,1,144.423864,-35.825089,82.18,6.02,1.050003,n,0.014,0.151,0.032,0.091,0.013,0.08,0.003,0.167,0.047,0.027,0.034,0.061,0.019,0.027,0.017,0.027,0.006,0.006,0,0.001,0.023,0.005,0.081,0,0.036,0.033,0
FCNSW_118_2019-11-05_T9_P2,FCNSW_118,FC NSW 1092,5/11/19,9,2,144.422807,-35.825348,82.230003,6.07,1.100006,n,0.018,0.179,0.008,0.026,0.016,0.093,0.005,0.195,0.053,0.024,0.031,0.075,0.021,0.002,0.016,0.025,0.006,0.006,0,0.001,0.025,0.004,0.093,0,0.043,0.035,0
FCNSW_119_2019-11-05_T9_P3,FCNSW_119,FC NSW 1093,5/11/19,9,3,144.422034,-35.825474,81.919998,5.75999,0.790001,n,0.015,0.164,0.037,0.106,0.015,0.08,0.004,0.182,0.047,0.017,0.01,0.06,0.018,0.023,0.015,0.023,0.005,0.006,0,0,0.022,0.003,0.097,0,0.018,0.035,0
FCNSW_120_2019-11-05_T9_P4,FCNSW_120,FC NSW 1094,5/11/19,9,4,144.421747,-35.825765,81.129997,4.96999,0,y,0.015,0.117,0.035,0.099,0.015,0.05,0.107,0.156,0.03,0.067,0.009,0.053,0.015,0.001,0,0.001,0,0.008,0,0,0.017,0.07,0.061,0.019,0.028,0.022,0.004
FCNSW_121_2020-02-05_T0_P1,FCNSW_121,FC NSW 1001,5/2/20,0,1,144.425419,-35.73389,80.57,4.41,0.300003,n,0.02,0.107,0.009,0.028,0.012,0.058,0.115,0.172,0.026,0.062,0.022,0.051,0.021,0.013,0.009,0.013,0.004,0.008,0,0.001,0.023,0.084,0.074,0.019,0.028,0.022,0
FCNSW_122_2020-02-05_T0_P2,FCNSW_122,FC NSW 1002,5/2/20,0,2,144.425642,-35.734851,80.779999,4.62,0.510002,n,0.023,0.139,0.014,0.043,0.015,0.08,0.009,0.216,0.04,0.084,0.009,0.054,0.021,0.022,0.014,0.022,0.002,0.008,0,0,0.03,0.007,0.088,0.014,0.02,0.026,0.001
